code,locale,weight_unit
"store_desktop_en","en_US","lbs"
"store_desktop_ru","ru_RU","kgs"
"store_desktop_de","de_DE","kgs"
"store_desktop_dis","en_US","lbs"
"store_laptop_en","en_US","lbs"
"store_laptop_ru","ru_RU","kgs"
"store_laptop_de","de_DE","kgs"
"store_laptop_dis","en_US","lbs"
"store_tablet_en","en_US","lbs"
"store_tablet_ru","ru_RU","kgs"
"store_tablet_de","de_DE","kgs"
"store_tablet_dis","en_US","lbs"
"store_accessory_en","en_US","lbs"
"store_accessory_ru","ru_RU","kgs"
"store_accessory_de","de_DE","kgs"
